Label,Tweet Id,Username,Text
0,1573719707,tranquilized09,@ArielChloe well another sunny day i could get use to this time off work maybe i wont go back they wont miss me 
0,1989371862,Aryskarlet,"@lilyroseallen Think that the singer looks like Sean Astin (from the goonies), voice and style between Brandon Flowers and Greg alexander "
0,1975122319,karenclaunch,"So joyful right now!   excellent sermon today and excellent prospects for more tomorrow!  Plus, a picnic!"
0,2182197369,nickymatthews,relaxing and enjoying being clean after a great few days at Le Mans 
0,1693269239,vaov,@MattBennettMB  yo hair in that clip!
0,1551428046,cv1489,getting ready to take mitchell to a birthday party!  Beutiful Day here 
0,2058672025,madelinesanders,I made this disguisting spaghetti I hated it so I went out and bought some pizza hut pizza with extra peperoni! Hahaha! 
0,2190267218,porkchaser,"i'm just back from my exam  now back to fishing,hopefully i'll get 81 today,if not,then i'll get it tomorrow :p"
0,1551394294,Marilynfreak,@Kyra_Wines We are on our way!!  
0,1983361539,arrudabega,Ahhhh so wiped out... kiddos are exhausting. Glad I can give them back. 
0,1881087758,sexybacknfront,@EarlTwitition just copy and paste that save earl part? I'm very new 
0,1985681342,NKAirplay,"@troykids @HOLLY_BAUGH Thanks, J-Block! Holly, it's coming up! "
0,1833186342,cc_monkey,"@MarkCliff taking 1 for the team is what i'm all about  is beautiful, yes. wasn't travelling alone, just had my own room. arrivied, raided"
0,2051347352,DannielleJJJJJ,"@RobbyTakac ur good deed can be saying hi to me  that would make my life!!! lol, love the studio cams!"
0,1834597195,CateP36,"@Custardcuppcake  cool, my comp keeps freezing! nice playing with you!  let's do it again some time!"
0,2005514173,LauraBann,Think This Is Gonna Be The Last Day Scotland Will See The Sun For A While..So Gonna Go Enjoy It  x
0,2177661366,Trubbled1,@yolie81 it is you'll find your best years are ahead of you babe 
0,1557347226,ellievanleuven,honey loops 
0,1834738701,roflucy,&quot;It's because I can spell confusing with a K and I like it.&quot; SO CUTE 
0,1932886594,vanessa_melo,"im sorry i havent twittered  buuuut *pause* jun says, &quot;nobody caresss&quot;..."
0,2179457361,DangerWill42,@joycecherrier Hiding from the kiddies is probably a wise choice!  
0,1995508392,VickiElam,@MajorDodson U just did   Maybe U need to take a nap &amp; get away from Tweetin!
0,1974496045,Birgiieet,OMG I just decided to make cookies tomorrow   I'll make them for my bf  but if I'm to hungry there won't be cookies for her 
0,1686707551,sternchen_001,dancing on the bed 
0,2018229932,chicowoo,@human3rror I'm going to unlace my addidas and go to lowes and get me a refrigerator cardboard box - maybe some Krylon to tag on it.  
0,1972545004,KatrinaFloyd,@BR_Wheeler It's getting love because I didn't want to drag the Gamecube out of Ian's room  I'm playing Skies of Arcadia--no waggle in ...
0,2190513075,greendazzle,@dunwan2 Could u accept my fashion war request coz I really need another 1 posse???Please!!!! 
0,1980120966,wvprincess32,"@ajam247 ty! I haven't been there since we went in '97! I'll ride our ride, Vortex, for ya! "
0,1973912656,iamrozzy,@riztuazon hey riz folow me 
0,1972226214,jessiiemcfly,my mirror needs a clean. thanks to the people who commented on the dress picture 
0,1553397640,nickstinemates,@raachheelll bbq's veg kebobs and bbq corn with butter == 
0,2181374766,Moomoostinia,@x3RuthTruong Noooo  hehe.
0,1827697870,chrisjbrandon,@1stLadyEL good music! 
0,1991719062,TristyWisty,Is ready to go home now... pity still half an hour to go... @Therapeutic_C hey Chick 
0,1675931204,iamnayeli,limewire can never replace friendships. haha. 
0,2033316856,NVlaura,There is nothing funnier than watching my mum trying to use my laptop 
0,1990574350,LakeviewMom,kashi honeyoat waffles are super yummy!!  Well it might have been the syrup and butter...but I think they were good. 
0,2061364301,sheryonstone,sleep well @braveheart550  ♫ http://blip.fm/~7ryk3
0,1933008936,nursejennifer,@ashleygreen thank u Ashley!!! That was sooo sweet  u made my night!
0,2065281767,therealjeko,"@ElaineyMarie you should count yourself as a lucky one, then..oh and she still has time so hold that thought.. "
0,2003404772,jimadams1,Also had an interesting conv. w/ my mom this AM. Pray that God's loving grace will lead to a change in lifestyles that do not honor Him. 
0,1979503198,JonasFan92KSA,OMJ..&quot;Paranoid&quot; on The Arabic  Disney Channel   ..i'v just saw it 4 the first time !! ..I'm So Happy  ..&lt;333333
0,1822864327,JennE669,TWitter!!! Finally joined  Follow me i'll follow u :d
0,1695655638,karenswim,"@MRHYPERPCS Thanks, but the Elance course is not mine! It's @trishlambert. "
0,2002858755,mneylon,@jasonroe he already said he was taking it offline - don't you listen? 
0,2000962735,Hornero,Welcome new followers 
0,2011930058,maryrivss,"@taylathegreat5 hahaha wow what are you gunna pull ? lol, i'm kiddingg taylor. calmm down. "
0,1826246928,xxlilokittehh,@AddictionLove same 
0,1677843176,Airthey,"Ive finished my essays, and handed them in on thursday. Since then, i've done nothing but sleep, play games, and drink alcohol. Hooray! "
0,2066102398,neonManda,"@allstaralice  And plus, in hell you can probably have a flamethrower, and you can shoot it at the people in heaven! LOL"
0,1970994525,DigiGifts,@lindyasimus thanks. I'm sure it will give her a real buzz when she is online next. 
0,1692819040,drockwell,"@aville20 no I have not but I will seriously look into it... @rimabean will have to go look when I go to b&amp;n this week, thanks "
0,2175831568,carousella,@zacislost @megsandbacon @Neekatron I'm in good company. Thanks Zac 
0,1962439766,ElyseGabrielle,@alexrk Whoot Yay Show at Howell High School today! Yay at 6 pm! Whoop  Mrs.CJBaran&lt;3
0,1969730741,sapient_network,Woo Hoo - the Deadly Assassin has arrived 
0,2191030618,bonnypayne,At steak n shake. Drove home from orlando. 
0,2191599030,theimp67,@theroguegirl Have an excellent afternoon as well. ((hugs)) 
0,2015163536,christiancable,@confusedCoyote oh for me to destroy  I want some bits to take pictures of.
0,1992540727,Garythetwit,k..time to go buy some fuk off speakers  l8r
0,1984618026,CrazyMoneyLady,"@Joey_Smith - If you're teaching it, you darn well better be there!  LOL!  "
0,2063015180,OOFTStuart,the new and improved Last Guardian trailer makes me want to have a kitty dragon. It's so so cute 
0,1988689614,JanaAlyssa,"@natalieannem haha, I actually thought that too.. but not that she's fat, more that she has curves &amp; is not stick thin like other celebs "
0,1990422633,vickydotin,@arvindnatarajan Just kidding ... for the toondoo stuff 
0,1880914008,mouseUp,Kick ass auto moeten repareren  http://twitpic.com/5olsw
0,1964397831,JumbleCake,@owlcity i like the storyline of UP...how old men can have great adventures too. 
0,1969972068,skittymiggy,Looking forward to the docks n cocktails (Even tho mine wont hav any alcohol) tonight with mates 
0,1958113399,jeneeco_12,work till three today... maybe i'll get lucky and get to leave at two or three 
0,2008026070,NativeRemedies,"Introduced 20 awesome new products to our proven line last month, check 'em out at http://www.nativeremedies.com/browse.shtml "
0,1556876523,Angelo85,@sunshine_ Thank you Sunshine  What happened to you btw? It's been ages since you've been in Twitterland.
0,1687248079,reneehlock,Breaky burrito at Whole Foods is a good way to start a Sunday AM after a night out! Then it's games games games day 
0,1990563245,ohmonika,they clipped his wings yay! I love charmed 
0,1690872385,savannahhhhxo,Who is this? 
0,1995763059,Elliethinks,@iampsychic yay! even though we shall claim his polly pocket house and keep it in LONDON! and the rest of them can fit in there too 
0,2062448211,SimonHPedersen,"Java 2 CSharp Translator - well hello world worked fine, but (as usual) the real life case failed "
0,1753853676,KennethErickson,Spent some time with the Guild Wars 4th birthday update. Menagerie is a welcome new feature... For Rangers anyway. 
0,1751749612,selkis007,mrskutcher &amp; aplusk you two are to funny! 
0,2052824375,ayesi,im home  whats up?
0,1975504459,Bethaconda,"@jordanknight awww, even the young one enjoys your music.  "
0,1979066609,MaddieMcBroom,"I should be going back to bed, but I'm getting distracted by a new game I got for my ipod "
0,2188834716,Gungus,@mousewords Yo! 
